"Zeitstempel","Ich verstehe die Inhalte des Buchkapitels gut","Ich verstehe die Inhalte der Referate gut","Ich verstehe die Paper vor der Seminarsitzung gut","Ich verstehe die Paper nach der Seminarsitzung gut","Die Aufgaben sind eine sinnvolle Grundlage um die Paper zu verstehen","Ich bereite mich __ Minuten auf die Seminarsitzungen vor","Der Dozent bereitet die Inhalte für die Gruppenarbeiten gut auf","Für die kommenden Sitzungen würde ich mir wünschen:","Rückblickend hat mir folgendes am Seminar nicht gefallen:"
"2022/05/17 11:18:00 AM OEZ","1","1","1","1","1","5","1","Mehr Interaktion seitens der Studierenden (was nicht daran lag, dass der Seminarleiter dies nicht eingefordert hätte)","nichts"
"2022/05/17 11:18:36 AM OEZ","2","1","3","2","1","60","1","",""
"2022/05/17 11:20:43 AM OEZ","2","2","4","1","3","40","1","",""
"2022/05/17 11:21:41 AM OEZ","4","4","2","3","3","45","4","",""
"2022/05/17 11:22:26 AM OEZ","2","1","3","2","2","60","1","",""
"2022/05/17 11:40:32 AM OEZ","2","1","3","2","1","90","1","Das die Gruppen neu durchmischt werden oder nochmal dazu angeregt wird, dass sich alle Gruppenmitglieder besser vorbereiten/beteiligen, da die meiste Arbeit an wenigen Leuten hängen bleibt ","schlecht funktionierende Verteilung in der Gruppenarbeit (was jedoch wenig/nicht in der Hand des Dozenten liegt)"
"2022/05/17 11:40:53 AM OEZ","3","2","3","2","3","45","2","",""
"2022/05/17 11:41:46 AM OEZ","3","2","4","2","1","20","1","",""
"2022/05/17 11:41:49 AM OEZ","2","1","4","2","2","15","1","",""
"2022/05/17 11:42:18 AM OEZ","2","4","2","4","4","60","5","",""
"2022/05/17 11:43:34 AM OEZ","2","1","2","1","2","120","2","Schokolade","Unterschiedliche Motivation der Studierenden. Oft beschränkt sich die Aktivität in der Gruppenarbeit nur auf 3 Leute. Vielleicht wäre auch eine größere Durchmischung der Gruppen für die Produktivität fördernd.  "
"2022/05/17 11:47:25 AM OEZ","2","2","2","1","1","60","1","Vor der Gruppenarbeit kurz die wichtigsten Inhalte des Papers besprechen.","/"